sample_id,species,batch,treatment,ultrasound
460,T. molitor,1,B,0
461,T. molitor,1,B,0
462,T. molitor,1,B,0
463,T. molitor,1,B,0
464,T. molitor,1,B,0
465,T. molitor,1,B,0
466,T. molitor,1,B,0
467,T. molitor,1,B,0
468,T. molitor,1,B,0
469,T. molitor,1,B,0
470,T. molitor,1,B,0
471,T. molitor,1,B,0
472,T. molitor,1,B,0
473,T. molitor,1,B,0
474,T. molitor,1,B,0
475,T. molitor,1,B,0
476,T. molitor,1,B,0
477,T. molitor,1,B,0
478,T. molitor,1,B,0
479,T. molitor,1,B,0
480,T. molitor,1,B,0
481,T. molitor,1,B,0
482,T. molitor,1,B,0
483,T. molitor,1,B,0
484,T. molitor,1,B,0
485,T. molitor,1,B,0
486,T. molitor,1,B,0
487,T. molitor,1,B,0
488,T. molitor,1,B,0
489,T. molitor,1,B,0
490,T. molitor,1,B,0
491,T. molitor,1,B,0
492,T. molitor,1,B,0
493,T. molitor,1,B,0
494,T. molitor,1,B,0
495,T. molitor,1,B,0
496,T. molitor,1,B,0
497,T. molitor,1,B,0
498,T. molitor,1,B,0
499,T. molitor,1,B,0
500,T. molitor,1,C,1
501,T. molitor,1,C,1
502,T. molitor,1,C,1
503,T. molitor,1,C,1
504,T. molitor,1,C,1
505,T. molitor,1,C,1
506,T. molitor,1,C,1
507,T. molitor,1,C,1
508,T. molitor,1,C,1
509,T. molitor,1,C,1
510,T. molitor,1,C,1
511,T. molitor,1,C,1
512,T. molitor,1,C,1
513,T. molitor,1,C,1
514,T. molitor,1,C,1
515,T. molitor,1,C,1
516,T. molitor,1,C,1
517,T. molitor,1,C,1
518,T. molitor,1,C,1
519,T. molitor,1,C,1
520,T. molitor,1,C,1
521,T. molitor,1,C,1
522,T. molitor,1,C,1
523,T. molitor,1,C,1
524,T. molitor,1,C,1
525,T. molitor,1,C,1
526,T. molitor,1,C,1
527,T. molitor,1,C,1
528,T. molitor,1,C,1
529,T. molitor,1,C,1
530,T. molitor,1,C,1
531,T. molitor,1,C,1
532,T. molitor,1,C,1
533,T. molitor,1,C,1
534,T. molitor,1,C,1
535,T. molitor,1,C,1
536,T. molitor,1,C,1
537,T. molitor,1,C,1
538,T. molitor,1,C,1
539,T. molitor,1,C,1
540,T. molitor,1,C,1
541,T. molitor,1,C,1
542,T. molitor,1,C,1
543,T. molitor,1,C,1
544,T. molitor,1,C,1
545,T. molitor,1,C,1
546,T. molitor,1,C,1
547,T. molitor,1,C,1
548,T. molitor,1,C,1
549,T. molitor,1,C,1
550,T. molitor,1,C,0
551,T. molitor,1,C,0
552,T. molitor,1,C,0
553,T. molitor,1,C,0
554,T. molitor,1,C,0
555,T. molitor,1,C,0
556,T. molitor,1,C,0
557,T. molitor,1,C,0
558,T. molitor,1,C,0
559,T. molitor,1,C,0
560,T. molitor,1,C,0
561,T. molitor,1,C,0
562,T. molitor,1,C,0
563,T. molitor,1,C,0
564,T. molitor,1,C,0
565,T. molitor,1,C,0
566,T. molitor,1,C,0
